,ID,Assay,estimate,.y.,group1,group2,n1,n2,statistic,p,conf.low,conf.high,method,alternative,p.signif,Adjusted_pval
183,183,IGFBP1,2.7504,NPX,Day 1 1h,Day 1 6h,14,14,186,6.93E-06,1.8875,3.9929,Wilcoxon,two.sided,****,0.00253638
139,139,FABP2,0.8157,NPX,Day 1 1h,Day 1 6h,13,13,156,7.17E-05,0.4344,1.395,Wilcoxon,two.sided,****,0.0131211
194,194,IL6,-1.99505,NPX,Day 1 1h,Day 1 6h,13,14,30,0.00228,-3.2721,-0.6837,Wilcoxon,two.sided,**,0.227835
177,177,HYAL1,0.31555,NPX,Day 1 1h,Day 1 6h,14,14,162,0.00249,0.1476,0.5386,Wilcoxon,two.sided,**,0.227835
264,264,PLAT,0.81045,NPX,Day 1 1h,Day 1 6h,14,14,158,0.00491,0.2194,1.3436,Wilcoxon,two.sided,**,0.359412
141,141,FABP6,0.53195,NPX,Day 1 1h,Day 1 6h,13,14,138,0.0222,0.1263,0.8663,Wilcoxon,two.sided,*,0.983057851
212,212,LGALS3,0.32035,NPX,Day 1 1h,Day 1 6h,14,14,147,0.0241,0.0259,0.6659,Wilcoxon,two.sided,*,0.983057851
167,167,GSTA1,0.8971,NPX,Day 1 1h,Day 1 6h,13,13,128,0.0256,0.0938,1.5649,Wilcoxon,two.sided,*,0.983057851
146,146,FBP1,0.7632,NPX,Day 1 1h,Day 1 6h,13,13,126,0.0338,0.0927,1.5697,Wilcoxon,two.sided,*,0.983057851
319,319,SPON2,0.465,NPX,Day 1 1h,Day 1 6h,13,13,125,0.0387,0.0244,0.9896,Wilcoxon,two.sided,*,0.983057851
172,172,HK2,-0.6047,NPX,Day 1 1h,Day 1 6h,13,14,49,0.0427,-1.3927,-0.0423,Wilcoxon,two.sided,*,0.983057851
145,145,FAS,0.32635,NPX,Day 1 1h,Day 1 6h,14,14,142,0.0444,0.0086,0.5867,Wilcoxon,two.sided,*,0.983057851
53,53,CCN3,0.56005,NPX,Day 1 1h,Day 1 6h,14,14,141,0.0497,0.0578,0.9207,Wilcoxon,two.sided,*,0.983057851
234,234,MTPN,0.2692,NPX,Day 1 1h,Day 1 6h,13,14,130,0.0609,-0.0121,0.4988,Wilcoxon,two.sided,ns,0.983057851
228,228,MFAP5,0.43215,NPX,Day 1 1h,Day 1 6h,14,14,139,0.062,-0.0361,0.9454,Wilcoxon,two.sided,ns,0.983057851
333,333,TGFBR3,0.3125,NPX,Day 1 1h,Day 1 6h,14,14,137,0.0767,-0.0559,0.5921,Wilcoxon,two.sided,ns,0.983057851
342,342,TIMP1,0.19605,NPX,Day 1 1h,Day 1 6h,14,14,137,0.0767,-0.0198,0.3987,Wilcoxon,two.sided,ns,0.983057851
143,143,FAM3C,0.2554,NPX,Day 1 1h,Day 1 6h,13,13,118,0.0908,-0.0453,0.4951,Wilcoxon,two.sided,ns,0.983057851
223,223,MCFD2,-0.3862,NPX,Day 1 1h,Day 1 6h,13,13,51,0.0908,-0.8817,0.103,Wilcoxon,two.sided,ns,0.983057851
350,350,TSHB,0.5066,NPX,Day 1 1h,Day 1 6h,13,13,118,0.0908,-0.122,1.1074,Wilcoxon,two.sided,ns,0.983057851
63,63,CDH1,0.2132,NPX,Day 1 1h,Day 1 6h,14,14,135,0.0939,-0.0153,0.4437,Wilcoxon,two.sided,ns,0.983057851
128,128,EFEMP1,0.2703,NPX,Day 1 1h,Day 1 6h,14,14,135,0.0939,-0.0393,0.6527,Wilcoxon,two.sided,ns,0.983057851
137,137,F7,0.2532,NPX,Day 1 1h,Day 1 6h,14,14,135,0.0939,-0.0425,0.5758,Wilcoxon,two.sided,ns,0.983057851
186,186,IGFBP6,0.28935,NPX,Day 1 1h,Day 1 6h,14,14,135,0.0939,-0.069,0.6209,Wilcoxon,two.sided,ns,0.983057851
285,285,QPCT,0.2375,NPX,Day 1 1h,Day 1 6h,14,14,135,0.0939,-0.0513,0.5588,Wilcoxon,two.sided,ns,0.983057851
241,241,NPDC1,0.2033,NPX,Day 1 1h,Day 1 6h,13,13,117,0.101,-0.0855,0.4737,Wilcoxon,two.sided,ns,0.983057851
48,48,CCL15,0.3502,NPX,Day 1 1h,Day 1 6h,14,14,134,0.104,-0.0851,0.8281,Wilcoxon,two.sided,ns,0.983057851
221,221,MB,0.351,NPX,Day 1 1h,Day 1 6h,14,14,133,0.114,-0.1002,0.7328,Wilcoxon,two.sided,ns,0.983057851
42,42,CA5A,0.70545,NPX,Day 1 1h,Day 1 6h,13,14,124,0.116,-0.1354,1.606,Wilcoxon,two.sided,ns,0.983057851
4,4,ACP5,0.1807,NPX,Day 1 1h,Day 1 6h,14,14,131,0.137,-0.0857,0.3978,Wilcoxon,two.sided,ns,0.983057851
33,33,BLMH,0.2087,NPX,Day 1 1h,Day 1 6h,14,14,131,0.137,-0.0932,0.7344,Wilcoxon,two.sided,ns,0.983057851
66,66,CDH5,0.1576,NPX,Day 1 1h,Day 1 6h,14,14,131,0.137,-0.0843,0.3543,Wilcoxon,two.sided,ns,0.983057851
219,219,LTBP2,0.2817,NPX,Day 1 1h,Day 1 6h,14,14,131,0.137,-0.068,0.6521,Wilcoxon,two.sided,ns,0.983057851
254,254,PCSK9,0.43865,NPX,Day 1 1h,Day 1 6h,14,14,131,0.137,-0.1592,0.8727,Wilcoxon,two.sided,ns,0.983057851
308,308,SERPINE1,0.5747,NPX,Day 1 1h,Day 1 6h,14,14,131,0.137,-0.1101,1.4931,Wilcoxon,two.sided,ns,0.983057851
306,306,SERPINA12,0.359,NPX,Day 1 1h,Day 1 6h,13,13,114,0.139,-0.1878,0.8226,Wilcoxon,two.sided,ns,0.983057851
242,242,NPPB,0.69905,NPX,Day 1 1h,Day 1 6h,13,14,122,0.141,-0.3463,1.7581,Wilcoxon,two.sided,ns,0.983057851
136,136,ESAM,0.213231426,NPX,Day 1 1h,Day 1 6h,14,14,130,0.148,-0.22239997,0.511980176,Wilcoxon,two.sided,ns,0.983057851
102,102,CST3,0.18935,NPX,Day 1 1h,Day 1 6h,14,14,130,0.15,-0.0991,0.4914,Wilcoxon,two.sided,ns,0.983057851
144,144,FAP,0.1756,NPX,Day 1 1h,Day 1 6h,14,14,130,0.15,-0.0446,0.394,Wilcoxon,two.sided,ns,0.983057851
46,46,CCDC80,0.1923,NPX,Day 1 1h,Day 1 6h,13,13,113,0.153,-0.1484,0.557,Wilcoxon,two.sided,ns,0.983057851
104,104,CSTB,0.2454,NPX,Day 1 1h,Day 1 6h,14,14,129,0.164,-0.2337,0.9252,Wilcoxon,two.sided,ns,0.983057851
125,125,DPT,0.2591,NPX,Day 1 1h,Day 1 6h,14,14,129,0.164,-0.1179,0.5453,Wilcoxon,two.sided,ns,0.983057851
260,260,PI3,0.1705,NPX,Day 1 1h,Day 1 6h,14,14,129,0.164,-0.0765,0.4664,Wilcoxon,two.sided,ns,0.983057851
10,10,ADAMTS16,0.2827,NPX,Day 1 1h,Day 1 6h,13,14,120,0.169,-0.1585,0.6241,Wilcoxon,two.sided,ns,0.983057851
80,80,CLC,0.544,NPX,Day 1 1h,Day 1 6h,13,13,112,0.169,-0.2174,1.204,Wilcoxon,two.sided,ns,0.983057851
265,265,PLIN3,0.2186,NPX,Day 1 1h,Day 1 6h,13,13,112,0.169,-0.1588,1.075,Wilcoxon,two.sided,ns,0.983057851
334,334,TGM2,0.4442,NPX,Day 1 1h,Day 1 6h,13,13,112,0.169,-0.4401,1.909,Wilcoxon,two.sided,ns,0.983057851
21,21,ANG,0.1576,NPX,Day 1 1h,Day 1 6h,14,14,127,0.194,-0.1065,0.4008,Wilcoxon,two.sided,ns,0.983057851
23,23,ANGPTL3,0.2964,NPX,Day 1 1h,Day 1 6h,14,14,127,0.194,-0.123,0.6672,Wilcoxon,two.sided,ns,0.983057851
29,29,ART3,0.1636,NPX,Day 1 1h,Day 1 6h,14,14,127,0.194,-0.1049,0.3724,Wilcoxon,two.sided,ns,0.983057851
238,238,NID1,0.24505,NPX,Day 1 1h,Day 1 6h,14,14,127,0.194,-0.1531,0.5537,Wilcoxon,two.sided,ns,0.983057851
